iter	Passed	Remaining
0	2	286
1	5	247
2	7	228
3	9	227
4	11	223
5	13	218
6	15	210
7	17	203
8	19	200
9	21	197
10	24	196
11	26	196
12	29	196
13	32	196
14	34	194
15	36	191
16	38	190
17	41	190
18	44	188
19	46	186
20	48	182
21	50	179
22	52	176
23	54	172
24	57	171
25	59	169
26	61	165
27	63	163
28	65	159
29	67	157
30	69	155
31	71	152
32	74	151
33	76	148
34	78	146
35	80	143
36	82	141
37	84	138
38	87	136
39	89	133
40	91	131
41	93	128
42	95	126
43	97	123
44	99	121
45	100	118
46	102	116
47	104	113
48	107	111
49	109	109
50	111	107
51	113	104
52	116	102
53	118	100
54	120	98
55	122	96
56	124	94
57	126	91
58	128	89
59	130	87
60	132	84
61	135	83
62	137	80
63	139	78
64	142	76
65	144	74
66	146	72
67	148	70
68	151	67
69	153	65
70	155	63
71	158	61
72	160	59
73	162	56
74	164	54
75	166	52
76	169	50
77	171	48
78	173	46
79	175	43
80	177	41
81	179	39
82	181	37
83	184	35
84	186	32
85	188	30
86	191	28
87	193	26
88	194	24
89	196	21
90	199	19
91	201	17
92	203	15
93	205	13
94	207	10
95	209	8
96	212	6
97	214	4
98	216	2
99	218	0
